                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2758,                 1.4942,                 1.4789,                0.24698,                0.34822,                0.24376,                0.12864,                 1.6687,                 1.8195,                 1.7242,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.2592,                 1.4689,                 1.4639,                0.24971,                0.35034,                0.23615,                0.12564,                 1.6853,                 1.8635,                 1.7393,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.2532,                  1.473,                 1.4781,                0.30472,                0.32053,                0.25974,                0.13177,                 1.6717,                 1.8002,                 1.7453,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.2617,                 1.4793,                 1.4628,                0.28058,                0.34221,                0.25533,                0.13768,                 1.6636,                 1.8078,                 1.7356,             0.00070404,             0.00070404,             0.00070404
                     39,                 1.2574,                 1.4565,                 1.4591,                 0.2779,                0.34229,                0.24617,                 0.1308,                  1.655,                 1.7805,                 1.7252,             0.00069304,             0.00069304,             0.00069304
                     40,                 1.2588,                 1.4568,                 1.4594,                0.25018,                0.35509,                0.24142,                0.12304,                 1.6481,                 1.8119,                 1.7216,             0.00068204,             0.00068204,             0.00068204
                     41,                 1.2581,                 1.4399,                 1.4499,                0.32136,                0.34368,                0.24796,                 0.1323,                 1.6363,                 1.7924,                 1.7052,             0.00067104,             0.00067104,             0.00067104
                     42,                  1.261,                 1.4255,                 1.4463,                 0.2752,                0.37674,                0.27293,                0.13469,                 1.6669,                 1.7427,                 1.7446,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.2186,                 1.3743,                 1.4361,                0.33377,                0.28712,                0.26154,                0.12974,                 1.6974,                 1.8001,                 1.7572,             0.00064905,             0.00064905,             0.00064905
                     44,                 1.2082,                 1.3585,                 1.4239,                0.31037,                0.33503,                0.25654,                0.13046,                 1.7026,                 1.8026,                 1.7701,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.2083,                 1.3687,                 1.4177,                0.30075,                0.33461,                0.25342,                0.13162,                 1.6815,                 1.8117,                  1.748,             0.00062705,             0.00062705,             0.00062705
                     46,                 1.2139,                  1.362,                 1.4221,                0.28719,                0.33597,                0.26342,                0.13268,                 1.7019,                 1.7751,                 1.7728,             0.00061605,             0.00061605,             0.00061605
                     47,                 1.2033,                 1.3513,                 1.4158,                0.28764,                 0.3519,                0.27368,                0.13918,                  1.682,                 1.7804,                 1.7524,             0.00060505,             0.00060505,             0.00060505
                     48,                 1.1619,                 1.2885,                 1.3914,                0.29313,                0.33529,                0.25078,                0.13127,                 1.6701,                 1.8155,                 1.7361,             0.00059405,             0.00059405,             0.00059405
                     49,                 1.1917,                 1.3055,                 1.3877,                0.36121,                0.33089,                0.26877,                0.13202,                 1.6686,                 1.7566,                 1.7338,             0.00058305,             0.00058305,             0.00058305
                     50,                 1.1686,                 1.3093,                 1.3952,                0.30661,                0.29817,                0.25542,                 0.1317,                   1.66,                 1.7993,                 1.7376,             0.00057205,             0.00057205,             0.00057205
                     51,                 1.1342,                 1.2605,                 1.3758,                0.27252,                0.35515,                0.24983,                0.13387,                  1.634,                 1.7734,                 1.7057,             0.00056105,             0.00056105,             0.00056105
                     52,                  1.163,                 1.2649,                 1.3874,                 0.3227,                0.36269,                0.26379,                0.13335,                  1.643,                 1.7549,                  1.742,             0.00055006,             0.00055006,             0.00055006
                     53,                  1.149,                  1.238,                 1.3718,                0.30123,                0.33174,                0.26232,                0.13881,                 1.6411,                 1.7529,                 1.7304,             0.00053906,             0.00053906,             0.00053906
                     54,                 1.1279,                 1.2232,                 1.3631,                0.38726,                0.27069,                0.25854,                0.13534,                 1.6569,                 1.7737,                 1.7536,             0.00052806,             0.00052806,             0.00052806
                     55,                 1.1203,                 1.2008,                 1.3442,                0.30858,                0.31459,                0.26329,                0.13894,                 1.6602,                  1.747,                 1.7324,             0.00051706,             0.00051706,             0.00051706
                     56,                 1.1365,                  1.237,                 1.3711,                0.30794,                 0.3586,                0.25784,                0.14126,                 1.6579,                 1.7581,                 1.7446,             0.00050606,             0.00050606,             0.00050606
                     57,                 1.1184,                 1.2057,                 1.3595,                0.32095,                0.34825,                0.26272,                 0.1377,                 1.6427,                  1.808,                 1.7309,             0.00049506,             0.00049506,             0.00049506
                     58,                 1.1053,                 1.1847,                 1.3544,                0.33032,                0.32311,                0.26481,                0.13727,                 1.6614,                 1.7699,                 1.7289,             0.00048406,             0.00048406,             0.00048406
                     59,                 1.1298,                 1.1998,                 1.3595,                0.32243,                0.32007,                0.26445,                0.14142,                 1.6534,                 1.7216,                 1.7259,             0.00047306,             0.00047306,             0.00047306
                     60,                 1.1038,                 1.1664,                 1.3353,                 0.3284,                 0.3391,                0.26223,                0.13877,                 1.6453,                 1.7672,                 1.7184,             0.00046206,             0.00046206,             0.00046206
                     61,                 1.0874,                 1.1561,                  1.325,                0.33466,                0.33293,                0.26457,                0.13508,                 1.6442,                 1.7435,                 1.7249,             0.00045107,             0.00045107,             0.00045107
                     62,                 1.0794,                 1.1358,                 1.3308,                0.35958,                0.32662,                0.26168,                0.14131,                 1.6522,                 1.8235,                 1.7247,             0.00044007,             0.00044007,             0.00044007
                     63,                 1.1032,                  1.157,                 1.3313,                0.30437,                 0.3656,                0.26012,                0.13258,                 1.6662,                 1.7738,                 1.7506,             0.00042907,             0.00042907,             0.00042907
                     64,                 1.0767,                 1.1366,                 1.3292,                0.34159,                0.32339,                0.26394,                0.13639,                  1.656,                 1.7892,                  1.739,             0.00041807,             0.00041807,             0.00041807
                     65,                 1.0766,                 1.1127,                 1.3181,                0.31301,                0.33717,                0.26517,                0.13805,                 1.6697,                 1.7886,                 1.7532,             0.00040707,             0.00040707,             0.00040707
                     66,                 1.0812,                 1.1088,                  1.309,                0.31863,                0.32122,                0.26212,                0.14117,                 1.6454,                 1.7749,                 1.7229,             0.00039607,             0.00039607,             0.00039607
                     67,                 1.0751,                 1.1186,                 1.3209,                 0.3221,                 0.3304,                0.27235,                0.14049,                 1.6552,                 1.7489,                 1.7361,             0.00038507,             0.00038507,             0.00038507
                     68,                 1.0568,                 1.0792,                 1.3033,                0.36084,                0.34276,                 0.2693,                0.14176,                  1.658,                 1.7758,                 1.7412,             0.00037407,             0.00037407,             0.00037407
                     69,                 1.0378,                 1.0679,                  1.299,                0.34688,                0.30442,                0.26848,                0.14171,                 1.6649,                   1.79,                 1.7508,             0.00036307,             0.00036307,             0.00036307
                     70,                  1.027,                 1.0547,                 1.2823,                0.35359,                0.30805,                0.27377,                0.14518,                 1.6434,                 1.7964,                 1.7228,             0.00035208,             0.00035208,             0.00035208
                     71,                 1.0417,                  1.056,                 1.2912,                0.39949,                0.29423,                0.26279,                0.13902,                 1.6539,                  1.812,                  1.729,             0.00034108,             0.00034108,             0.00034108
                     72,                 1.0324,                 1.0568,                 1.2938,                0.31284,                0.34986,                0.26634,                0.13719,                 1.6584,                 1.7756,                 1.7418,             0.00033008,             0.00033008,             0.00033008
                     73,                 1.0238,                 1.0343,                 1.2858,                0.31384,                0.35069,                0.26994,                0.13487,                 1.6752,                 1.8073,                  1.752,             0.00031908,             0.00031908,             0.00031908
                     74,                 1.0208,                  1.037,                 1.2712,                0.38167,                 0.3096,                0.27305,                0.14304,                 1.6672,                 1.8127,                 1.7459,             0.00030808,             0.00030808,             0.00030808
